"Genus","Species","M","K","Linf","tmax","Temp"
"Sebastes","melanops",0.2,0.18,506.8,42,12.5
"Sebastes","paucispinis",0.434,0.12,821.7,14,18
"Sebastes","pinniger",0.038,0.139,533,84,5.4
"Sebastes","proriger",0.1,0.166,383,42,5.4
"Sebastes","reedi",0.1425,0.126,463,72,5.4
"Sebastes","ruberrimus",0.0174,0.0369,659.6,121,5.4
"Sebastes","zacentrus",0.07,0.095,349,46,5.4
"Sebastolobus","alascanus",0.07,0.012,700,89,4.5
"Semicossyphus","pulcher",0.2,0.146,569.6,29,14
"Seriola","dumerili",0.61,0.119,1648,17,26
"Sparisoma","viride",0.274,0.6,280.6,9,27.2
"Sphyrna","tiburo",0.6615,0.34,1150,7,22.3
"Spicara","maena",1.18,0.532,248.2,8,16.8
"Spicara","smaris",0.98,0.277,227.6,6,15.6
"Stegastes","arcifrons",0.1471,0.75,103.8,27,24
"Stegastes","beebei",0.2994,0.7,93.6,19,24
"Stegastes","rectifraenum",0.402,1.11,107.3,11,24
"Symphodus","roissali",1.71,0.346,165.3,3,18
"Symphodus","tinca",0.25,0.214,422.4,13,16
"Thunnus","albacares",1.085,0.25,1664,7,23
"Thunnus","maccoyii",0.22,0.185,1832,41,17
"Thunnus","obesus",0.48,0.238,1690,16,23
"Tilapia","zillii",1.2,0.67,99,7,23.5
"Trachurus","declivis",0.56,0.2,464,16,12
"Trachurus","japonicus",0.99,0.35,386,5,20
"Trachurus","novaezelandiae",0.18,0.23,377,28,12
"Trachyrhynchus","trachyrhynchus",0.325,0.164,211,11,12.7
"Trisopterus","esmarkii",1.49,0.49,215.5,6,9
"Trisopterus","minutus",1.17,0.443,230,5,12
"Umbrina","robinsoni",0.24,0.183,594,17,18
"Urolophus","paucimaculatus",0.445,0.33,500.5,10,16.5
"Valenciennea","muralis",4.87,2.555,106.1,0.99,25.8
